"frame_number"	"time_in_deciseconds"	"X"	"Y"	"Z"	"ID"
"114"	5506	550.5	-264.441	2086.294	-34.776	484
"115"	5517	551.6	2050.428	2006.232	-42.185	485
"116"	5517	551.6	2582.478	2098.229	-48.687	486
"117"	5516	551.5	-295.161	2085.147	-34.386	487
"118"	14070	1406.9	3171.737	2026.028	-31.664	488
"119"	9215	921.4	999.599	2305.864	-43.203	489
"120"	5526	552.5	2578.518	2087.348	-52.707	490
"121"	6271	627	1834.724	1998.696	-41.036	491
"122"	5637	563.6	2592.883	2046.557	-45.903	492
"123"	5533	553.2	-346.171	2087.735	-35.69	493
"124"	5563	556.2	-411.447	2107.071	-33.869	494
"125"	5600	559.9	-507.515	2121.278	-35.795	495
"126"	5737	573.6	2524.043	2073.85	-44.199	496
"127"	5700	569.9	1833.694	1995.334	-43.899	497
"128"	5740	573.9	1746.484	2020.575	-19.865	498
"129"	5736	573.5	1749.88	2018.777	-19.077	499
"130"	11055	1105.4	-1977.612	-1673.462	31.362	500
"131"	5769	576.8	2507.857	2060.755	-70.312	501
"132"	12511	1251	2481.411	2054.693	-46.137	502
"133"	5811	581	2497.612	2082.375	-39.367	503
"134"	5854	585.3	2380.368	2041.081	-31.635	504
"135"	6004	600.3	2405.313	2074.98	-44.088	505
"136"	5859	585.8	3330.73	1962.042	-49.996	506
"137"	5874	587.3	2333.781	2047.744	-32.259	507
"138"	5896	589.5	2341.428	1988.361	16.499	508
"139"	26708	2670.7	1843.478	2018.83	-35.959	509
"140"	5906	590.5	3335.345	1961.218	-55.795	510
"141"	6000	599.9	2156.76	2039.782	-46.144	511
"142"	5956	595.5	3334.662	1961.311	-54.441	512
"143"	6022	602.1	2149.236	2039.782	-50.735	513
"144"	6020	601.9	-1551.435	1979.497	-33.861	514
"145"	6196	619.5	1858.162	1987.468	-27.731	515
"146"	6063	606.2	2435.852	2085.718	-46.751	516
"147"	6080	607.9	2475.706	2066.235	-42.157	517
"148"	6123	612.2	2442.663	2069.524	-46.606	518
"149"	12526	1252.5	2481.42	2054.69	-46.124	519
"150"	6679	667.8	2172.196	2185.871	-39.643	520
"151"	6169	616.8	3334.317	1958.704	-51.809	521
"152"	6180	617.9	3333.565	1961.78	-53.749	522
"153"	6200	619.9	3334.813	1959.216	-52.947	523
"154"	6205	620.4	1835.507	1993.482	-41.194	524
"155"	6218	621.7	-1988.348	1748.767	-30.031	525
"156"	58122	5812.1	746.104	2089.54	-36.709	526
"157"	6273	627.2	-2047.686	1652.59	-26.302	527
"158"	6353	635.2	1674.901	2002.784	-37.618	528
"159"	6293	629.2	-2083.259	1608.714	-25.811	529
"160"	6311	631	-2087.821	1595.726	-27.221	530
"161"	6363	636.2	-2104.179	1571.7	-25.874	531
"162"	7860	785.9	-635.002	2112.536	-37.586	532
"163"	6475	647.4	3334.035	1957.816	-50.703	533
"164"	6479	647.8	-2271.563	1530.482	-21.412	534
"165"	6508	650.7	-2303.83	1472.789	-24.348	535
"166"	6542	654.1	-2352.043	1410.893	-22.018	536
"167"	6555	655.4	-2370.637	1375.402	-22.706	537
"168"	6566	656.5	-2386.748	1349.541	-23.089	538
"169"	6585	658.4	-2411.047	1307.443	-22.251	539
"170"	6639	663.8	3335.198	1960.059	-54.051	540
"171"	6667	666.6	3335.196	1959.265	-53.199	541
"172"	6668	666.7	-2502.271	1118.689	-14.714	542
"173"	32256	3225.5	2096.064	2137.303	-43.417	543
"174"	6762	676.1	-2586.655	884.669	-11.56	544
"175"	6775	677.4	-2601.027	858.422	-8.619	545
"176"	6783	678.2	3333.788	1959.175	-51.203	546
"177"	7023	702.2	1604.331	301.842	2.188	547
"178"	6963	696.2	3333.699	1958.383	-50.284	548
"179"	6975	697.4	-2659.971	326.78	-2.652	549
"180"	9051	905	4430.743	3771.072	-82.932	550
"181"	7078	707.7	-2676.183	52.316	10.769	551
"182"	7132	713.1	3334.967	1960.049	-53.826	552
"183"	7192	719.1	-2645.438	-251.551	15.737	553
"184"	7354	735.3	-2538.509	-724.384	18.33	554
"185"	7502	750.1	-2388.414	-1103.976	23.602	555
"186"	7517	751.6	2659.269	2055.775	-47.39	556
"187"	14349	1434.8	2595.543	2041.9	-50.958	557
"188"	7538	753.7	-2337.109	-1203.668	30.463	558
"189"	7560	755.9	-2299.676	-1256.412	29.53	559
"190"	7612	761.1	-2223.725	-1385.357	30.828	560
"191"	7620	761.9	3332.278	1959.601	-50.037	561
"192"	7660	765.9	-2137.529	-1498.673	34.611	562
"193"	7633	763.2	3334.129	1960.862	-55.12	563
"194"	7693	769.2	-2055.141	-1562.097	35.544	564
"195"	7720	771.9	-2047.163	-1593.321	36.963	565
"196"	7892	789.1	-1719.387	-1862.382	44.647	566
"197"	7868	786.7	3333.671	1958.563	-50.412	567
"198"	22970	2296.9	4043.919	1990.872	-46.594	568
"199"	18534	1853.3	2613.773	2069.713	-39.056	569
"200"	7943	794.2	3332.289	1963.192	-53.811	570
"201"	8719	871.8	2581.604	2059.929	-51.243	571
"202"	8013	801.2	-1436.347	-1945.623	47.248	572
"203"	7976	797.5	3330.875	1962.357	-50.645	573
"204"	8002	800.1	-1467.378	-1933.485	47.551	574
"205"	8117	811.6	-1180.325	-2007.356	47.308	575
"206"	8139	813.8	-1117.071	-2021.102	48.382	576
"207"	8160	815.9	-1053.008	-2026.158	48.117	577
"208"	8362	836.1	-517.968	-2001.614	51.176	578
"209"	8399	839.8	2484.767	2056.727	-44.295	579
"210"	8433	843.2	2440.452	2067.698	-47.085	580
"211"	20795	2079.4	2381.909	2056.115	-34.621	581
"212"	8485	848.4	2439.853	2068.314	-47.687	582
"213"	8548	854.7	2244.383	1984.542	-36.835	583
"214"	8556	855.5	2240.824	1982.159	-43.698	584
"215"	8562	856.1	2240.607	1982.426	-44.416	585
"216"	9753	975.2	2158.737	2003.024	-43.634	586
"217"	8586	858.5	2154.329	1997.34	-40.907	587
"218"	8715	871.4	333.859	-1609.771	33.73	588
"219"	46894	4689.3	2581.547	1970.446	-46.858	589
"220"	8740	873.9	384.027	-1565.081	28.839	590
"221"	8755	875.4	408.685	-1533.975	29.617	591
"222"	8782	878.1	468.396	-1485.448	30.188	592
"223"	8808	880.7	522.108	-1422.615	28.664	593
"224"	8858	885.7	612.126	-1315.446	25.242	594
"225"	8879	887.8	649.452	-1272.151	25.111	595
"226"	8915	891.4	705.365	-1187.168	24.843	596
"227"	8931	893	733.506	-1147.972	21.537	597
"228"	8956	895.5	751.505	-1124.659	23.047	598
"229"	8983	898.2	786.867	-1065.328	22.204	599
"230"	8995	899.4	811.878	-1034.341	20.829	600
"231"	9003	900.2	4462.211	3691.202	-72.121	601
"232"	9022	902.1	847.25	-979.32	25.29	602
"233"	9071	907	903.305	-868.707	18.737	603
"234"	9132	913.1	4346.479	3923.317	-86.992	604
"235"	9112	911.1	962.555	-768.312	15.75	605
"236"	9111	911	4369.913	3873.525	-84.767	606
"237"	9123	912.2	979.117	-740.813	20.003	607
"238"	9145	914.4	1002.711	-689.466	14.983	608
"239"	9137	913.6	4342.9	3934.963	-87.412	609
"240"	9184	918.3	4293.516	4046.379	-88.385	610
"241"	9286	928.5	1189.158	-355.443	9.593	611
"242"	9229	922.8	4240.492	4144.88	-89.695	612
"243"	11732	1173.1	648.207	2185.811	-36.965	613
"244"	9330	932.9	4110.741	4356.137	-89.548	614
"245"	9312	931.1	1212.888	-288.707	8.716	615
"246"	9412	941.1	3995.316	4539.875	-92.807	617
"247"	9386	938.5	4036.96	4484.562	-92.285	618
"248"	9422	942.1	1373.091	-16.308	3.678	619
"249"	10309	1030.8	3232.377	6509.11	-141.908	622
"250"	9471	947	1452.303	97.909	3.291	623
"251"	9508	950.7	1508.482	176.147	3.424	624
"252"	9599	959.8	1664.693	378	-0.221	625
"253"	9609	960.8	1673.528	398.04	0.379	626
"254"	9656	965.5	1763.587	475.161	-0.381	627
"255"	9672	967.1	1786.219	509.016	0.232	628
"256"	9710	970.9	1850.918	558.763	-0.837	629
"257"	9738	973.7	1910.288	606.668	-1.331	630
"258"	9834	983.3	2075.789	2000.874	-39.753	632
"259"	9823	982.2	2105.958	732.683	-7.024	634
"260"	9851	985	2080.331	1998.83	-37.213	636
"261"	9947	994.6	2069.372	1996.823	-43.796	637
"262"	9938	993.7	5039.421	693.844	111.373	638
"263"	72000	7199.9	-1886.848	-1692.352	31.65	639
"264"	10131	1013	1829.911	1996.195	-42.832	640
"265"	10177	1017.6	1772.859	2004.573	-38.721	641
"266"	10180	1017.9	2997.911	1276.381	-28.731	642
"267"	11308	1130.7	-741.171	2122.855	-37.244	643
"268"	10191	1019	3027.513	1287.666	-28.665	644
"269"	10286	1028.5	3265.111	1387.392	-30.86	645
"270"	10583	1058.2	2955.485	7100.192	-158.033	646
"271"	10390	1038.9	3497.678	1523.415	-34.058	647
"272"	10409	1040.8	3542.686	1527.493	-32.723	648
"273"	10743	1074.2	2963.732	7090.753	-152.581	650
"274"	16643	1664.2	2432.534	1978.038	-45.771	651
"275"	10758	1075.7	2983.995	7082.386	-145.052	652
"276"	10773	1077.2	3000.808	7070.384	-141.933	653
"277"	10782	1078.1	3003.895	7064.417	-159.252	654
"278"	11016	1101.5	3026.753	7058.048	-145.125	655
"279"	27916	2791.5	2463.528	1973.793	-44.691	656
"280"	16483	1648.2	2435.397	1976.367	-47.658	657
"281"	10943	1094.2	4454.613	2692.246	-58.013	658
"282"	11057	1105.6	2947.173	7065.164	-149.973	659
"283"	11667	1166.6	-34.344	-1846.61	42.38	660
"284"	11247	1124.6	2841.038	7305.967	-162.414	661
"285"	11133	1113.2	2905.317	7123.359	-146.941	662
"286"	11307	1130.6	2760.603	7366.576	-164.12	663
"287"	11301	1130	4457.517	3632.968	-69.966	664
"288"	11347	1134.6	-847.713	2127.22	-37.714	665
"289"	11323	1132.2	2744.245	7411.265	-160.489	666
"290"	11375	1137.4	2638.06	7543.011	-167.049	667
"291"	11352	1135.1	4401.825	3765.58	-73.881	668
"292"	11460	1145.9	-1137.163	2100.019	-37.972	669
"293"	11368	1136.7	4389.931	3803.91	-72.987	670
"294"	11393	1139.2	4358.837	3876.843	-75.43	671
"295"	11452	1145.1	2502.486	7707.817	-167.859	672
"296"	11417	1141.6	4340.631	3934.901	-77.37	673
"297"	11427	1142.6	4319.085	3964.506	-77.917	674
"298"	17308	1730.7	-3533.55	6932.143	-146.252	675
"299"	11440	1143.9	4307.831	3994.699	-77.383	676
"300"	11450	1144.9	4295.385	4021.935	-79.454	677
"301"	11458	1145.7	4291.211	4038.106	-79.118	678
"302"	11467	1146.6	2487.195	7741.841	-168.86	679
"303"	11467	1146.6	4271.914	4053.039	-80.814	680
"304"	11487	1148.6	-1196.524	2087.255	-37.896	681
"305"	11497	1149.6	2425.744	7778.208	-172.082	682
"306"	11586	1158.5	-1420.92	2031.318	-18.821	684
