"frame_number"	"time_in_deciseconds"	"X"	"Y"	"Z"	"ID"
"115"	5506	550.5	2051.658	2057.933	-41.515	485
"116"	5513	551.2	2582.996	2099.128	-47.928	486
"117"	5514	551.3	-287.969	2084.858	-34.145	487
"118"	5516	551.5	2514.176	2056.848	-53.15	488
"119"	5519	551.8	2050.993	2060.705	-50.876	489
"120"	5522	552.1	2586.524	2090.829	-43.086	490
"121"	5526	552.5	2051.014	2060.777	-50.922	491
"122"	5528	552.7	2587.691	2080.333	-35.03	492
"123"	5530	552.9	-338.957	2086.519	-35.384	493
"124"	5559	555.8	-403.025	2099.143	-33.482	494
"125"	5597	559.6	-503.163	2117.817	-34.487	495
"126"	5671	567	2596.54	2068.971	-47.99	496
"127"	5671	567	1811.654	2025.536	-18.494	497
"128"	5701	570	1812.357	1984.107	-36.062	498
"129"	5734	573.3	1751.04	2017.99	-19.292	499
"130"	5743	574.2	1762.834	1999.467	-36.662	500
"131"	5749	574.8	2558.034	2073.772	-36.491	501
"132"	5766	576.5	2521.571	2037.618	-39.908	502
"133"	5785	578.4	2511.499	2076.35	-47.815	503
"134"	5787	578.6	2474.788	2067.225	-43.992	504
"135"	5818	581.7	2487.504	2087.243	-35.277	505
"136"	5828	582.7	3334.789	1962.164	-55.867	506
"137"	5857	585.6	2351.27	2050.719	-45.363	507
"138"	5857	585.6	2385.635	2039.645	-36.078	508
"139"	5899	589.8	2342.308	2011.066	-35.853	509
"140"	5902	590.1	3334.618	1960.697	-54.33	510
"141"	5903	590.2	2295.542	2042.01	-31.462	511
"142"	5953	595.2	3334.668	1962.761	-55.689	512
"143"	6015	601.4	2144.331	2028.095	-42.899	513
"144"	6016	601.5	-1544.026	1979.975	-28.98	514
"145"	6027	602.6	2126.962	2031.303	-43.965	515
"146"	6035	603.4	2412.168	2090.294	-46.92	516
"147"	6074	607.3	2495.342	2067.512	-42.066	517
"148"	6119	611.8	2456.451	2064.062	-57.908	518
"149"	6135	613.4	2489.941	2073.152	-26.562	519
"150"	6141	614	2464.218	2071.919	-39.3	520
"151"	6167	616.6	3333.803	1960.527	-50.258	521
"152"	6176	617.5	3331.965	1961.522	-50.841	522
"153"	6189	618.8	3331.144	1960.987	-49.575	523
"154"	6200	619.9	1852.051	1987.192	-29.186	524
"155"	6208	620.7	-1972.096	1764.462	-27.618	525
"156"	6212	621.1	1828.853	1997.889	-48.569	526
"157"	6269	626.8	-2043.814	1657.349	-26.825	527
"158"	6274	627.3	1832.539	1999.847	-40.217	528
"159"	6291	629	-2079.651	1611.305	-25.776	529
"160"	6309	630.8	-2085.301	1595.904	-26.861	530
"161"	6352	635.1	-2095.361	1587.675	-26.794	531
"162"	6373	637.2	1640.871	2006.01	-30.465	532
"163"	6462	646.1	3333.62	1961.409	-54.129	533
"164"	6473	647.2	-2269.741	1543.394	-22.423	534
"165"	6503	650.2	-2302.736	1482.029	-16.286	535
"166"	6540	653.9	-2348.064	1416.203	-23.7	536
"167"	6553	655.2	-2366.723	1381.697	-21.493	537
"168"	6564	656.3	-2385.764	1351.899	-22.046	538
"169"	6582	658.1	-2409.783	1316.199	-18.434	539
"170"	6634	663.3	3335.263	1959.006	-52.944	540
"171"	6664	666.3	3330.84	1961.739	-50.276	541
"172"	6665	666.4	-2501.902	1127.661	-12.108	542
"173"	6720	671.9	2169.125	2199.07	-40.918	543
"174"	6750	674.9	-2578.333	912.156	-13.72	544
"175"	6770	676.9	-2593.584	860.76	-10.304	545
"176"	6780	677.9	3334.972	1959.764	-53.512	546
"177"	6827	682.6	1309.197	-95.968	8.486	547
"178"	6960	695.9	3335.248	1960.228	-53.685	548
"179"	6973	697.2	-2658.971	332.094	0.216	549
"180"	7034	703.3	1617.344	329.555	3.419	550
"181"	7076	707.5	-2676.351	58.44	11.287	551
"182"	7129	712.8	3333.028	1963.081	-54.514	552
"183"	7190	718.9	-2645.316	-244.092	16.856	553
"184"	7352	735.1	-2541.202	-716.098	19.671	554
"185"	7480	747.9	-2421.809	-1039.332	22.867	555
"186"	7507	750.6	2669.355	2063.171	-37.594	556
"187"	7519	751.8	2666.505	2056.866	-46.521	557
"188"	7524	752.3	-2352.24	-1161.257	26.138	558
"189"	7552	755.1	-2311.228	-1233.605	26.194	559
"190"	7567	756.6	-2288.101	-1276.255	29.99	560
"191"	7618	761.7	3333.876	1962.068	-54.509	561
"192"	7620	761.9	-2211.831	-1403.819	31.83	562
"193"	7630	762.9	3334.913	1959.79	-53.565	563
"194"	7679	767.8	-2090.71	-1533.177	34.833	564
"195"	7703	770.2	-2043.972	-1559.917	39.924	565
"196"	7743	774.2	-2028.177	-1635.857	38.103	566
"197"	7866	786.5	3330.595	1959.297	-46.301	567
"198"	7877	787.6	-666.783	2125.644	-36.514	568
"199"	7880	787.9	2605.796	2072.736	-44.655	569
"200"	7893	789.2	3334.15	1959.77	-52.582	570
"201"	7898	789.7	2585.163	2070.863	-41.85	571
"202"	7917	791.6	-1659.404	-1849.868	46.142	572
"203"	7973	797.2	3331.33	1963.007	-51.989	573
"204"	8000	799.9	-1470.218	-1929.946	46.862	574
"205"	8072	807.1	-1269.48	-1964.401	43.404	575
"206"	8137	813.6	-1125.589	-2018.551	48.8	576
"207"	8157	815.6	-1061.994	-2025.245	47.828	577
"208"	8355	835.4	-518.912	-2000.755	48.643	578
"209"	8377	837.6	2579.807	2073.164	-35.256	579
"210"	8406	840.5	2497.605	2048.71	-35.028	580
"211"	8434	843.3	2443.681	2046.191	-38.816	581
"212"	8444	844.3	2436.811	2042.071	-40.445	582
"213"	8490	848.9	2428.708	2047.455	-36.624	583
"214"	8549	854.8	2265.085	1986.656	-35.04	584
"215"	8556	855.5	2245.962	1996.041	-35.448	585
"216"	8564	856.3	2217.667	1999.93	-33.238	586
"217"	8582	858.1	2159.248	2008.794	-34.951	587
"218"	8711	871	321.802	-1615.088	30.455	588
"219"	8728	872.7	2585.497	2063.468	-44.207	589
"220"	8738	873.7	381.815	-1567.578	29.694	590
"221"	8750	874.9	400.039	-1539.743	28.991	591
"222"	8774	877.3	452.916	-1498.143	29.153	592
"223"	8802	880.1	508.676	-1438.822	28.067	593
"224"	8825	882.4	548.601	-1378.227	27.584	594
"225"	8867	886.6	624.483	-1293.256	26.451	595
"226"	8889	888.8	665.766	-1246.088	26.474	596
"227"	8927	892.6	731.519	-1159.221	29.251	597
"228"	8938	893.7	743.711	-1136.661	24.656	598
"229"	8964	896.3	759.249	-1107.948	23.228	599
"230"	8993	899.2	807.869	-1037.43	21.712	600
"231"	9001	900	4458.781	3685.345	-74.829	601
"232"	9007	900.6	818.265	-1004.121	20.513	602
"233"	9048	904.7	880.147	-926.159	24.583	603
"234"	9063	906.2	4408.525	3758.745	-83.438	604
"235"	9080	907.9	921.599	-848.905	22.804	605
"236"	9104	910.3	4374.727	3852.677	-83.839	606
"237"	9121	912	978.856	-746.685	20.015	607
"238"	9126	912.5	977.762	-729.805	15.387	608
"239"	9135	913.4	4346.281	3930.538	-87.448	609
"240"	9140	913.9	4337.617	3945.21	-83.686	610
"241"	9170	916.9	1034.003	-628.004	13.042	611
"242"	9187	918.6	4291.536	4053.203	-84.399	612
"243"	9230	922.9	1015.714	2307.2	-43.356	613
"244"	9233	923.2	4233.047	4156.221	-87.134	614
"245"	9290	928.9	1198.492	-345.323	11.315	615
"246"	9346	934.5	4094.577	4394.618	-91.878	617
"247"	9384	938.3	4037.544	4478.94	-91.846	618
"248"	9395	939.4	1328.62	-77.28	4.137	619
"249"	9417	941.6	3989.059	4554.165	-93.781	622
"250"	9469	946.8	1446.646	97.309	1.807	623
"251"	9496	949.5	1483.457	157.045	2.742	624
"252"	9597	959.6	1660.645	373.293	2.163	625
"253"	9605	960.4	1668.018	389.966	3.377	626
"254"	9648	964.7	1747.021	470.003	0.447	627
"255"	9670	966.9	1782.403	503.414	0.747	628
"256"	9693	969.2	1822.499	549.256	2.392	629
"257"	9727	972.6	1887.105	587.957	-1.281	630
"258"	9757	975.6	2156.544	2023.859	-54.925	632
"259"	9820	981.9	2095.299	734.042	-9.208	634
