"frame_number"	"time_in_deciseconds"	"X"	"Y"	"Z"	"ID"	"distance"
"108"	485	48.4	4007.931	1955.528	-42.057	140	NA
"109"	494	49.3	4016.832	1954.613	-41.42	142	NA
"110"	507	50.6	4805.67	544.927	-30.605	143	NA
"111"	507	50.6	4761.942	520.723	-180.494	144	NA
"112"	4491	449	4721.927	669.435	-8.587	145	NA
"113"	4492	449.1	4725.826	617.203	-5.817	146	NA
"114"	508	50.7	4028.712	1957.476	-41.106	147	NA
"115"	520	51.9	4028.033	1957.562	-37.72	148	NA
"116"	736	73.5	-3018.842	7748.524	-166.478	151	NA
"117"	681	68	1662.635	8253.209	-175.391	152	NA
"118"	560	55.9	4042.776	1984.083	-46.559	153	NA
"119"	564	56.3	-3349.765	7285.997	-55.759	154	NA
"120"	558	55.7	4431.818	3679.574	-73.787	155	NA
"121"	579	57.8	4056.768	2000.865	-47.407	157	NA
"122"	572	57.1	4420.299	3710.939	-72.663	158	NA
"123"	585	58.4	-1057.538	6736.95	-150.954	159	NA
"124"	597	59.6	4397.286	3747.927	-81.545	160	NA
"125"	599	59.8	4063.996	2001.096	-50.834	161	NA
"126"	604	60.3	4072.287	2009.958	-47.36	162	NA
"127"	7527	752.6	4072.97	2013.387	-44.599	163	NA
"128"	642	64.1	4371.737	3838.256	-77.236	164	NA
"129"	629	62.8	4372.347	3810.536	-76.086	165	NA
"130"	631	63	-1057.455	6736.987	-150.825	166	NA
"131"	652	65.1	4372.395	3858.567	-77.139	167	NA
"132"	676	67.5	4345.208	3897.91	-85.206	169	NA
"133"	697	69.6	4323.036	3941.765	-82.897	171	NA
"134"	713	71.2	1588.501	8263.278	-175.084	172	NA
"135"	704	70.3	4318.934	3950.795	-78.165	173	NA
"136"	713	71.2	4309.675	3968.451	-78.005	175	NA
"137"	770	76.9	1457.985	8271.686	-176.299	176	NA
"138"	734	73.3	4297.697	3992.664	-87.553	177	NA
"139"	844	84.3	-1056.811	6736.653	-150.887	178	NA
"140"	754	75.3	4288.478	4029.063	-79.405	179	NA
"141"	1127	112.6	-3394.344	7156.043	-149.343	181	NA
"142"	787	78.6	1413.908	8270.627	-177.981	182	NA
"143"	836	83.5	1315.298	8271.99	-177.137	183	NA
"144"	833	83.2	4216.431	4157.091	-85.392	184	NA
"145"	847	84.6	4209.067	4184.964	-85.969	185	NA
"146"	864	86.3	1262.993	8276.082	-178.181	186	NA
"147"	889	88.8	4152.804	4258.559	-89.443	187	NA
"148"	1013	101.2	-3299.538	7364.489	-156.695	188	NA
"149"	890	88.9	1214.558	8274.713	-177.656	189	NA
"150"	881	88	-1056.907	6736.697	-150.868	190	NA
"151"	898	89.7	4145.071	4268.431	-88.215	191	NA
"152"	906	90.5	4134.996	4278.472	-85.72	192	NA
"153"	942	94.1	-1057.14	6736.823	-150.888	193	NA
"154"	924	92.3	1147.989	8259.661	-177.983	194	NA
"155"	934	93.3	4113.847	4334.131	-87.455	195	NA
"156"	956	95.5	4085.805	4362.201	-90.419	196	NA
"157"	955	95.4	1075.215	8252.545	-177.651	197	NA
"158"	1405	140.4	149.652	8233.674	-175.629	198	NA
"159"	972	97.1	4073.234	4386.551	-90.027	199	NA
"160"	997	99.6	4057.212	4433.969	-92.255	201	NA
"161"	1040	103.9	-1057.604	6736.966	-150.882	203	NA
"162"	1155	115.4	-3411.088	7238.525	-156.056	204	NA
"163"	1072	107.1	-1057.654	6737.056	-150.887	205	NA
"164"	1073	107.2	3977.864	4555.501	-95.276	206	NA
"165"	1100	109.9	-1057.556	6736.94	-150.84	207	NA
"166"	1115	111.4	3938.345	4624.297	-92.952	208	NA
"167"	1131	113	-1057.542	6736.999	-150.829	209	NA
"168"	1142	114.1	3943.297	4663.505	-91.849	210	NA
"169"	1179	117.8	-3416.392	7118.419	-148.207	211	NA
"170"	1232	123.1	-3451.92	7154.88	-153.605	212	NA
"171"	1171	117	3921.523	4688.071	-95.666	213	NA
"172"	1199	119.8	3934.612	4698.246	-86.705	214	NA
"173"	1204	120.3	3925.153	4702.13	-95.56	215	NA
"174"	1232	123.1	3900.449	4730.201	-99.107	216	NA
"175"	1248	124.7	-3440.329	7119.15	-82.098	217	NA
"176"	1242	124.1	3899.136	4740.276	-95.312	218	NA
"177"	1248	124.7	3893.076	4748.692	-97.664	219	NA
"178"	1276	127.5	-3465.741	7132.809	-153.713	220	NA
"179"	1418	141.7	-3502.275	7054.192	-152.835	221	NA
"180"	1311	131	-1057.279	6736.906	-150.87	222	NA
"181"	1325	132.4	3812.553	4866.238	-102.108	223	NA
"182"	1386	138.5	-3516.721	6940.221	-144.47	224	NA
"183"	1398	139.7	-1056.924	6736.719	-150.848	225	NA
"184"	1871	187	-731.654	8233.728	-173.62	226	NA
"185"	1421	142	-3531.425	6931.088	-148.682	227	NA
"186"	1439	143.8	-3509.436	7036.829	-153.269	228	NA
"187"	1450	144.9	-1057.415	6736.933	-150.843	229	NA
"188"	1511	151	-3542.312	6962.294	-150.152	230	NA
"189"	1581	158	-1057.413	6736.943	-150.931	231	NA
"190"	1515	151.4	2576.298	1026.847	-12.444	232	NA
"191"	1510	150.9	2569.509	1024.829	-23.913	233	NA
"192"	1538	153.7	-3594.107	6821.446	-133.378	234	NA
"193"	1571	157	-3626.41	6776.751	-127.991	235	NA
"194"	1598	159.7	-1057.513	6748.309	-175.239	236	NA
"195"	1615	161.4	-3676.955	6721.076	-124.801	237	NA
"196"	1618	161.7	-1057.024	6736.805	-150.916	238	NA
"197"	1666	166.5	3525.688	5418.244	-109.236	239	NA
"198"	1706	170.5	-1056.973	6736.714	-150.917	240	NA
"199"	1666	166.5	3520.239	5420.437	-105.784	241	NA
"200"	1671	167	3528.604	5425.149	-107.639	242	NA
"201"	1857	185.6	-1057.295	6736.885	-150.928	243	NA
"202"	1860	185.9	3430.104	5745.947	-124.02	244	NA
"203"	3252	325.1	-3254.298	7454.927	-158.997	245	NA
"204"	1893	189.2	3214.056	1344.246	-24.661	246	NA
"205"	2106	210.5	-1057.028	6736.758	-150.981	247	NA
"206"	2037	203.6	-1405.426	8235.433	-175.081	248	NA
"207"	2049	204.8	3326.96	6100.355	-135.832	249	NA
"208"	2055	205.4	-1385.741	8256.235	-175.336	250	NA
"209"	2146	214.5	-1500.844	8260.79	-167.898	251	NA
"210"	10393	1039.2	-1057	6736.782	-150.941	252	NA
"211"	2162	216.1	3601.351	1580.889	-28.795	253	NA
"212"	2173	217.2	-1554.115	8285.325	-168.355	254	NA
"213"	2173	217.2	3612.151	1583.547	-30.277	255	NA
"214"	2205	220.4	-1606.956	8282.118	-170.319	256	NA
"215"	2419	241.8	-2056.297	8210.566	-172.936	257	NA
"216"	2249	224.8	3231.959	6437.655	-141.044	258	NA
"217"	2488	248.7	-2210.659	8205.363	-174.797	259	NA
"218"	2631	263	-2495.677	8100.597	-171.138	260	NA
"219"	2528	252.7	-1057.747	6737.095	-150.91	261	NA
"220"	2650	264.9	2945.027	7136.978	-160.679	262	NA
"221"	2751	275	-2737.164	7978.205	-172.1	263	NA
"222"	2706	270.5	2892.378	7221.081	-160.807	264	NA
"223"	2801	280	-2817.683	7910.588	-164.717	265	NA
"224"	2816	281.5	4375.485	2485.476	-51.334	266	NA
"225"	3202	320.1	-3260.38	7403.928	-154.423	267	NA
"226"	2922	292.1	-2693.399	533.127	-4.955	268	NA
"227"	3180	317.9	-2671.704	149.435	6.508	269	NA
"228"	3010	300.9	2574.513	7632.236	-169.551	270	NA
"229"	3127	312.6	2515.124	7714.581	-162.228	271	NA
"230"	3212	321.1	2486.898	7718.888	-161.705	272	NA
"231"	3183	318.2	4520.875	3157.176	-73.012	273	NA
"232"	3295	329.4	-2657.66	-31.577	7.249	274	NA
"233"	3404	340.3	-3380.3	7217.181	-151.097	275	NA
"234"	3235	323.4	2457.029	7753.069	-163.899	276	NA
"235"	3384	338.3	-3531.182	6930.406	-149.28	277	NA
"236"	3246	324.5	2429.378	7775.779	-162.577	278	NA
"237"	3346	334.5	-3306.173	7346.209	-156.491	279	NA
"238"	3276	327.5	2374.755	7830.808	-162.314	280	NA
"239"	4266	426.5	-2346.326	8153.662	-174.677	281	NA
"240"	3286	328.5	2346.781	7839.331	-165.476	282	NA
"241"	3312	331.1	2319.837	7884.344	-165.72	283	NA
"242"	3331	333	-2649.355	-90.568	8.842	284	NA
"243"	3359	335.8	2247.081	7942.371	-166.48	285	NA
"244"	3361	336	-2646.611	-136.967	10.083	287	NA
"245"	3382	338.1	-3332.953	7314.535	-157.004	289	NA
"246"	3392	339.1	-2635.648	-192.716	19.985	290	NA
"247"	3407	340.6	2175.727	8018.314	-170.246	291	NA
"248"	3435	343.4	-3359.885	7233.686	-153.471	292	NA
"249"	3432	343.1	-2637.154	-253.543	12.924	293	NA
"250"	3499	349.8	-3420.915	7120.732	-149.49	294	NA
"251"	3448	344.7	-3567.691	6856.482	-137.799	295	NA
"252"	3454	345.3	2083.159	8077.115	-171.579	296	NA
"253"	3553	355.2	-3420.17	7160.706	-154.946	297	NA
"254"	3458	345.7	-2633.048	-295.977	12.188	298	NA
"255"	3601	360	-3691.453	6702.032	-124.412	299	NA
"256"	3471	347	-2631.122	-310.187	10.328	300	NA
"257"	3469	346.8	2054.308	8100.21	-172.648	301	NA
"258"	3549	354.8	1894.875	8191.583	-173.397	302	NA
"259"	3545	354.4	-2630.066	-412.036	13.804	303	NA
"260"	3588	358.7	-2609.455	-492.923	21.737	304	NA
"261"	3612	361.1	-3428.238	7119.763	-152.62	305	NA
"262"	3591	359	1819.287	8207.452	-175.489	306	NA
"263"	3623	362.2	-2598.531	-546.461	16.581	307	NA
"264"	3646	364.5	1679.488	8251.606	-178.543	308	NA
"265"	3649	364.8	-3728.958	6670.492	-124.262	309	NA
"266"	3649	364.8	-3500.476	7026.736	-152.642	310	NA
"267"	3694	369.3	-2573.552	-662.782	20.639	311	NA
"268"	3671	367	1618.876	8260.616	-177.81	312	NA
"269"	3662	366.1	-3505.675	7018.266	-148.115	313	NA
"270"	3755	375.4	-3913.175	6559.607	-130.654	314	NA
"271"	3708	370.7	-3431.234	7121.328	-148.297	315	NA
"272"	3738	373.7	-3525.197	6947.121	-148.972	316	NA
"273"	3715	371.4	1518.027	8274.413	-178.779	317	NA
"274"	3830	382.9	-3475.831	7084.049	-149.378	318	NA
"275"	3793	379.2	-2525.99	-827.021	23.971	319	NA
"276"	3738	373.7	1463.905	8274.181	-177.435	320	NA
"277"	3756	375.5	1413.603	8270.543	-180.758	321	NA
"278"	3846	384.5	-3481.256	7068.978	-151.169	322	NA
"279"	3858	385.7	1171.802	8261.894	-178.074	323	NA
"280"	3860	385.9	-4073.762	6514.373	-148.799	324	NA
"281"	3861	386	-2478.17	-931.534	32.37	325	NA
"282"	4890	488.9	-1491.607	-1921.913	44.092	326	NA
"283"	4047	404.6	-3531.748	6939.037	-154.988	327	NA
"284"	3936	393.5	969.215	8246.739	-178.79	328	NA
"285"	3944	394.3	-3656.464	6738.744	-127.033	329	NA
"286"	3948	394.7	935.85	8243.434	-179.871	330	NA
"287"	4005	400.4	792.668	8231.515	-179.485	331	NA
"288"	4023	402.2	-1927.199	8237.768	-175.079	332	NA
"289"	4669	466.8	-718.3	8241.358	-178.219	333	NA
"290"	4037	403.6	-1951.038	8231.688	-174.614	334	NA
"291"	4050	404.9	-1984.145	8232.271	-176.444	335	NA
"292"	4061	406	-2018.452	8229.516	-176.291	336	NA
"293"	4074	407.3	-2054.527	8234.083	-175.312	337	NA
"294"	4082	408.1	-3532.824	6940.721	-154.96	338	NA
"295"	4112	411.1	-2166.962	8205.843	-179.925	339	NA
"296"	4129	412.8	-3517.219	6951.141	-150.899	340	NA
"297"	5037	503.6	-2194.899	8207.169	-171.495	341	NA
"298"	4181	418	-3509.806	6977.58	-152.867	342	NA
"299"	4199	419.8	-3509.437	6982.011	-147.359	343	NA
"300"	4215	421.4	-3501.45	6990.195	-148.518	344	NA
"301"	4236	423.5	3939.665	4609.876	-96.54	345	NA
"302"	4248	424.7	-3492.787	7025.882	-155.035	346	NA
"303"	4267	426.6	-3484.558	7038.812	-155.443	347	NA
"304"	4285	428.4	-3481.565	7053.997	-152.893	348	NA
"305"	4309	430.8	-3954.309	6546.714	-132.763	349	NA
"306"	4389	438.8	-2341.108	8153.725	-175.946	350	NA
"307"	4323	432.2	-3500.33	7046.111	-151.792	351	NA
"308"	4364	436.3	-3517.377	7011.98	-152.745	352	NA
"309"	4404	440.3	3947.8	4601.903	-100.597	353	NA
"310"	4380	437.9	-3519.034	6992.78	-151.787	354	NA
"311"	4384	438.3	-3879.563	6576.326	-125.888	355	NA
"312"	4395	439.4	-3521.216	6981.988	-151.594	356	NA
"313"	4402	440.1	-3505.323	6949.916	-84.336	357	NA
"314"	4427	442.6	-3521.075	6932.7	-154.661	358	NA
"315"	4465	446.4	-2394.106	8123.856	-172.076	359	NA
"316"	4427	442.6	-3519.144	6975.053	-149.475	360	NA
"317"	4433	443.2	-3519.26	6950.682	-119.249	361	NA
"318"	4439	443.8	-3524.189	6934.651	-156.169	362	NA
"319"	4455	445.4	-3528.106	6935.938	-155.337	363	NA
"320"	4838	483.7	3880.315	4775.873	-107.058	364	NA
"321"	4532	453.1	-3793.425	6632.173	-120.809	365	NA
"322"	4525	452.4	-3536.025	6931.381	-151.408	366	NA
"323"	4974	497.3	-2275.183	8177.639	-174.302	367	NA
"324"	4576	457.5	-3810.824	6619.515	-123.98	368	NA
"325"	4768	476.7	-3739.62	6667.016	-127.168	369	NA
"326"	4602	460.1	-3524.849	6961.644	-151.767	370	NA
"327"	4727	472.6	-3527.748	6950.142	-151.144	383	NA
"328"	4648	464.7	-3837.721	6603.309	-123.709	384	NA
"329"	4695	469.4	-3848.707	6595.788	-127.863	385	NA
"330"	4746	474.5	-911.046	8240.281	-173.17	386	NA
"331"	4879	487.8	-3540.879	6946.438	-150.658	431	NA
"332"	4850	484.9	-1121.332	8236.471	-178.514	447	NA
"333"	4791	479	-3773.842	6642.97	-126.331	448	NA
"334"	4817	481.6	-3793.012	6631.013	-124.982	449	NA
"335"	4811	481	4041.056	4858.361	77.073	450	NA
"336"	4842	484.1	3880.503	4831.881	67.055	453	NA
"337"	4815	481.4	3864.872	4730.032	-1.558	454	NA
"338"	4815	481.4	3876.636	4773.979	-113.692	455	NA
"339"	4842	484.1	3955.226	4825.988	65.234	456	NA
"340"	4843	484.2	3952.202	4884.568	83.652	457	NA
"341"	4843	484.2	3979.164	4790.153	75.325	458	NA
"342"	4842	484.1	3905.047	4737.485	72.779	459	NA
"343"	4827	482.6	-3904.617	6563.768	-130.349	460	NA
"344"	4828	482.7	3876.617	4773.95	-113.571	461	NA
"345"	4952	495.1	3891.23	4783.768	-88.752	463	NA
"346"	4857	485.6	-3836.55	6600.905	-125.657	472	NA
"347"	4877	487.6	-1148.505	8215.561	-173.456	473	NA
"348"	4885	488.4	-3865.087	6586.49	-127.412	474	NA
"349"	4897	489.6	-1481.588	-1924.591	45.094	475	NA
"350"	4996	499.5	-1331.351	8268.159	-174.651	476	NA
"351"	4970	496.9	3335.228	6285.792	18.291	488	NA
"352"	4970	496.9	3257.787	6256.662	32.66	489	NA
"353"	4950	494.9	3311.42	6341.121	-31.621	490	NA
"354"	4970	496.9	3224.57	6344.116	36.172	491	NA
"355"	11303	1130.2	-3475.987	7085.969	-150.271	492	NA
"356"	4963	496.2	3879.979	4779.252	-96.394	494	NA
"357"	4972	497.1	-1369.178	-1937.416	45.481	496	NA
"358"	5014	501.3	-3534.902	6940.625	-148.314	499	NA
"359"	5023	502.2	-2201.955	8199.376	-176.684	500	NA
"360"	5139	513.8	-1118.296	-2014.348	47.559	501	NA
"361"	5102	510.1	-1571.771	8266.002	-174.82	502	NA
"362"	5146	514.5	-2210.727	8163.21	-133.926	503	NA
"363"	5088	508.7	-2205.926	8183.175	-177.129	504	NA
"364"	5236	523.5	-3495.09	6975.041	-152.255	505	NA
"365"	5119	511.8	-2236.52	8170.681	-169.238	509	NA
"366"	5126	512.5	-2136.021	8247.803	-59.473	514	NA
"367"	5126	512.5	-2198.008	8232.994	-65.767	515	NA
"368"	5800	579.9	-3039.383	7713.219	-164.592	516	NA
"369"	5126	512.5	-2119.76	8166.398	-48.87	517	NA
"370"	5125	512.4	-2211.608	8136.657	-103.312	518	NA
"371"	5149	514.8	-2342.495	8212.776	-249.633	525	NA
"372"	5157	515.6	-2349.159	8105.092	-106.213	526	NA
"373"	5964	596.3	-3417.307	7178.002	-152.097	527	NA
"374"	5216	521.5	-1010.683	-2027.702	47.384	530	NA
"375"	5231	523	-2512.027	8095.531	-167.291	531	NA
"376"	5235	523.4	-978.676	-2027.106	46.987	532	NA
"377"	5269	526.8	-930.248	-2039.481	42.293	534	NA
"378"	5270	526.9	-2614.483	8061.607	-166.284	535	NA
"379"	5318	531.7	-3486.101	7044.669	-154.515	538	NA
"380"	5343	534.2	-2781.2	7942.299	-164.945	547	NA
"381"	5346	534.5	-816.948	-2029.999	47.459	549	NA
