"frame_number"	"time_in_deciseconds"	"X"	"Y"	"Z"	"ID"	"distance"
"103"	2971	297	2528.2	2359.062	115.502	149	21.24
"104"	2981	298	2509.972	2277.778	106.084	150	36.457
"105"	2988	298.7	1564.293	2087.6	-36.34	151	0.208
"106"	3003	300.2	2236.597	2005.596	-37.235	152	12.313
"107"	3020	301.9	2122.543	2112.037	-35.275	153	1.147
"108"	3044	304.3	2079.424	2101.42	-35.575	155	5.968
"109"	3060	305.9	2538.348	2346.185	97.627	156	15.27
"110"	3074	307.3	2265.969	2026.513	-33.194	157	2.521
"111"	3079	307.8	2500.795	2227.253	93.966	158	59.953
"112"	3082	308.1	2030.684	2103.045	-36.806	159	0.865
"113"	3163	316.2	1871.85	2099.195	-36.437	161	1.352
"114"	3166	316.5	2234.659	2018.674	-37.85	162	4.595
"115"	3167	316.6	2510.734	2339.89	95.194	163	19.299
"116"	3180	317.9	2472.025	2237.805	96.869	164	44.34
"117"	3195	319.4	2338.716	2034.215	-35.131	166	6.42
"118"	3197	319.6	1290.847	2051.957	-32.958	167	2.436
"119"	3204	320.3	2344.21	2042.061	-35.167	168	5.954
"120"	3208	320.7	2281.454	2007.196	-33.893	169	3.335
"121"	3208	320.7	2619.156	2061.919	-40.4	170	2.043
"122"	3208	320.7	2341.109	2037.182	-35.667	171	2.359
"123"	3210	320.9	1265.166	2067.326	-33.777	172	2.092
"124"	3224	322.3	1242.195	2074.285	-34.377	173	2.855
"125"	3228	322.7	2269.665	1976.161	-33.965	174	2.598
"126"	3230	322.9	1755.045	2104.908	-35.25	175	2.44
"127"	3252	325.1	1712.893	2095.143	-36.008	177	1.595
"128"	3263	326.2	2444.447	2239.076	125.242	178	5.296
"129"	3269	326.8	1153.508	2107.394	-34.647	179	3.579
"130"	3315	331.4	2193.145	2043.088	-34.455	180	2.479
"131"	3315	331.4	1047.67	2098.895	-33.097	181	4.44
"132"	3335	333.4	2390.024	2108.515	-38.406	182	2.57
"133"	3338	333.7	2433.857	2266.134	86.654	183	3.643
"134"	3342	334.1	1547.981	2088.215	-35.592	184	1.072
"135"	3374	337.3	2297.853	2086.366	-35.492	185	2.024
"136"	3374	337.3	921.78	2090.707	-33.965	186	1.577
"137"	3380	337.9	2266.012	2020.949	-34.495	187	3.647
"138"	3395	339.4	1450.657	2079.181	-34.844	188	0.807
"139"	3405	340.4	850.941	2089.108	-33.329	189	3.405
"140"	3417	341.6	3270.709	2099.227	-37.685	190	1.46
"141"	3422	342.1	2441.521	2323.529	107.987	191	42.384
"142"	3434	343.3	1380.381	2064.963	-35.312	192	0.624
"143"	3441	344	769.492	2072.461	-31.618	193	3.597
"144"	3456	345.5	1329.677	2059.927	-34.224	194	3.359
"145"	3457	345.6	2182.532	1972.788	-33.014	195	2.448
"146"	3482	348.1	669.562	2056.469	-33.282	197	1.907
"147"	3487	348.6	2180.229	1955.954	-33.611	198	2.944
"148"	3508	350.7	2378.771	2249.771	109.867	199	13.619
"149"	3514	351.3	2150.219	2005.88	-33.371	200	1.312
"150"	3516	351.5	2553.03	2428.983	78.701	201	2.16
"151"	3528	352.7	2164.489	2026.11	-34.475	202	3.426
"152"	3535	353.4	565.564	2068.009	-29.592	203	4.684
"153"	3536	353.5	1846.853	2089.068	-44.911	204	0.137
"154"	3536	353.5	2175.548	2043.667	-34.423	205	2.545
"155"	3541	354	1854.301	2091.096	-48.59	206	2.329
"156"	3550	354.9	1841.884	2107.678	-35.853	207	4.577
"157"	3551	355	2335.943	2037.346	-41.885	208	0.149
"158"	3579	357.8	2105.877	2081.773	-36.494	210	3.462
"159"	3585	358.4	2378.255	2281.273	113.492	211	43.818
"160"	3593	359.2	2327.139	2032.588	-49.915	212	16.896
"161"	3599	359.8	2326.981	2033.035	-50.193	213	7.531
"162"	3607	360.6	1089.33	2109.139	-35.527	214	1.32
"163"	3609	360.8	2051.79	2100.396	-35.798	215	2.972
"164"	3648	364.7	1035.005	2101.224	-34.975	216	0.415
"165"	3654	365.3	2338.63	2031.43	-63.666	217	13.048
"166"	3657	365.6	2343.869	2043.405	-41.316	218	0.02
"167"	3666	366.5	2266.079	2170.55	74.718	219	25.159
"168"	3698	369.7	941.976	2107.188	-33.494	220	1.148
"169"	3734	373.3	891.173	2098.174	-34.269	223	2.125
"170"	3741	374	2299.551	2267.612	131.818	224	41.297
"171"	3743	374.2	1744.482	2087.379	-34.429	225	0.859
"172"	3767	376.6	843.296	2106.285	-34.283	227	2.083
"173"	3772	377.1	2344.703	2042.802	-44.349	228	0.153
"174"	3808	380.7	806.529	2104.079	-32.899	231	2.05
"175"	3812	381.1	1594.878	2088.165	-34.709	232	2.716
"176"	3820	381.9	790.451	2101.219	-34.732	233	1.133
"177"	3840	383.9	2300.767	2275.68	119.754	234	53.433
"178"	3847	384.6	2381.591	2068.716	10.278	235	0.484
"179"	3851	385	-158.579	2081.616	-33.645	236	1.109
"180"	3857	385.6	2380.366	2068.778	8.874	237	19.369
"181"	3864	386.3	3013.424	2150.542	-34.814	238	3.454
"182"	3884	388.3	-233.665	2091.567	-30.394	239	3.984
"183"	3896	389.5	663.276	2084.252	-33.369	241	0.782
"184"	3900	389.9	-274.514	2089.421	-29.816	242	1.316
"185"	3900	389.9	2254.399	2037.061	-35.495	243	1.181
"186"	3915	391.4	-305.177	2091.203	-31.711	244	3.378
"187"	3920	391.9	2348.277	2311.925	144.056	245	5.366
"188"	3928	392.7	2333.397	2298.487	145.181	246	57.662
"189"	3931	393	617.776	2081.467	-33.735	247	1.125
