"frame_number"	"time_in_deciseconds"	"X"	"Y"	"Z"	"ID"	"distance"
"1"	7625	762.4	-1903.047	-1756.776	42.429	1	NA
"2"	3798	379.7	-1936.317	-1692.375	27.693	2	NA
"3"	4912	491.1	-1631.221	-1886.952	36.808	3	NA
"4"	5542	554.1	1089.516	-533.036	10.089	4	NA
"5"	16537	1653.6	4529.348	2503.15	-54.665	5	NA
"6"	1610	160.9	3692.627	5149.218	-112.919	6	NA
"7"	1454	145.3	3693.616	5148.266	-111.201	7	NA
"8"	732	73.1	3203.357	1873.985	-30.932	8	NA
"9"	4906	490.5	4372.04	2496.509	-57.952	9	NA
"10"	2495	249.4	-1433.58	8284.855	-173.515	10	NA
"11"	18692	1869.1	3283.952	1425.826	-34.05	11	NA
"12"	3	0.2	1448.549	2086.272	-36.605	12	NA
"13"	18880	1887.9	-1586.942	1955.999	-31.688	13	NA
"14"	501	50	-2361.081	-1174.857	18.559	14	NA
"15"	40	3.9	-1057.381	6737.288	-149.979	15	NA
"16"	6116	611.5	-2407.967	-1119.526	26.459	16	NA
"17"	6482	648.1	-1628.399	-1886.295	35.432	18	NA
"18"	2987	298.6	3798.675	4878.795	-104.021	19	NA
"19"	54	5.3	4102.862	4382.644	-85.523	20	NA
"20"	3077	307.6	-1955.137	-1699.098	32.966	21	NA
"21"	22	2.1	4089.823	2037.744	-42.333	22	NA
"22"	3422	342.1	-3535.836	6933.056	-148.072	23	NA
"23"	23018	2301.7	3206.962	1388.514	6.012	24	NA
"24"	427	42.6	3202.451	1945.323	-45.853	25	NA
"25"	2658	265.7	-3532.217	6929.849	-150.649	26	NA
"26"	16345	1634.4	-1081.049	2036.66	-35.019	27	NA
"27"	7970	796.9	4039.459	1996.739	-50.384	28	NA
"28"	5	0.4	3193.936	1398.317	-18.027	29	NA
"29"	133	13.2	-2536.679	-810.089	22.532	30	NA
"30"	10	0.9	2670.422	1089.474	-12.578	31	NA
"31"	231	23	4362.351	2468.405	-56.175	32	NA
"32"	72	7.1	2734.948	1125.487	-14.044	33	NA
"33"	165	16.4	3929.507	4657.589	-96.544	34	NA
"34"	165	16.4	-1057.411	6737.114	-150.478	35	NA
"35"	127	12.6	-1057.681	6737.159	-150.55	36	NA
"36"	324	32.3	3728.334	5050.588	-107.702	37	NA
"37"	195	19.4	2904.577	1199.772	-13.919	38	NA
"38"	190	18.9	-2511.585	-867.768	23.868	39	NA
"39"	327	32.6	-1057.378	6737.055	-150.48	40	NA
"40"	266	26.5	-2492.614	-945.762	25.571	41	NA
"41"	205	20.4	1087.576	-543.243	12.152	42	NA
"42"	225	22.4	1086.21	-540.984	14.519	43	NA
"43"	260	25.9	2959.728	1227.408	-13.798	44	NA
"44"	726	72.5	4464.794	3630.857	-79.302	45	NA
"45"	282	28.1	2982.12	1242.756	-15.91	46	NA
"46"	297	29.6	-2469.311	-977.95	32.994	47	NA
"47"	303	30.2	3755.633	4998.031	-107.031	48	NA
"48"	414	41.3	-2402.404	-1094.595	27.704	49	NA
"49"	359	35.8	3681.295	5123.241	-100.71	50	NA
"50"	458	45.7	-1057.468	6737.247	-150.14	52	NA
"51"	463	46.2	3580.755	5360.146	-114.082	53	NA
"52"	406	40.5	-1057.526	6737.01	-150.726	54	NA
"53"	415	41.4	3136.204	1321.22	-21.368	55	NA
"54"	12066	1206.5	-1523.713	-1907.482	46.784	56	NA
"55"	430	42.9	-2393.143	-1110.519	26.959	57	NA
"56"	456	45.5	3202.075	1944.706	-46.498	58	NA
"57"	463	46.2	3194.992	1349.963	-23.391	59	NA
"58"	1155	115.4	2919.373	7160.365	-147.2	60	NA
"59"	488	48.7	3216.487	1370.113	-26.606	61	NA
"60"	740	73.9	3202.669	1943.334	-43.038	62	NA
"61"	530	52.9	-2331.637	-1206.744	28.922	63	NA
"62"	585	58.4	-1057.257	6737.086	-150.424	64	NA
"63"	618	61.7	-2267.723	-1300.487	31.67	65	NA
"64"	656	65.5	-2232.514	-1343.281	43.857	66	NA
"65"	649	64.8	-1057.54	6737.245	-150.498	67	NA
"66"	683	68.2	3415.171	1474.899	-31.27	68	NA
"67"	680	67.9	-1057.653	6737.198	-150.545	69	NA
"68"	717	71.6	-2187.384	-1401.529	32.789	70	NA
"69"	880	87.9	-1057.449	6736.927	-150.958	71	NA
"70"	724	72.3	-2183.995	-1409.248	34.813	72	NA
"71"	790	78.9	-2130.61	-1477.281	35.06	73	NA
"72"	740	73.9	4452.998	3665.127	-80.137	74	NA
"73"	2401	240	3204.123	1874.259	-38.541	75	NA
"74"	770	76.9	4435.744	3736.127	-82.039	76	NA
"75"	756	75.5	3198.563	1943.159	-41.841	77	NA
"76"	761	76	3495.677	1520.157	-24.849	78	NA
"77"	1026	102.5	4151.59	4278.512	-90.381	79	NA
"78"	843	84.2	3201.876	1945.059	-45.221	80	NA
"79"	794	79.3	4412.936	3777.604	-82.538	81	NA
"80"	807	80.6	-1057.4	6737.142	-150.492	82	NA
"81"	801	80	-2119.244	-1486.698	34.806	83	NA
"82"	841	84	-2087.41	-1526.184	35.631	84	NA
"83"	832	83.1	4378.162	3869.787	-84.675	85	NA
"84"	870	86.9	-2085.663	-1542.207	39.099	86	NA
"85"	869	86.8	-1057.315	6736.885	-150.584	87	NA
"86"	894	89.3	3203.605	1943.258	-44.006	88	NA
"87"	897	89.6	3630.681	1626.368	-31.238	89	NA
"88"	899	89.8	-2072.935	-1553.305	36.524	90	NA
"89"	909	90.8	-1057.515	6736.961	-150.749	91	NA
"90"	12021	1202	-1622.947	-1887.802	41.262	92	NA
"91"	950	94.9	3652.787	5120.228	-111.4	93	NA
